Rename_A	ID|35 118a_cp32-13	ID|34 297_cp32-12	ID|31 B31_cp32-9	ID|23 B31cp26	ID|9 JD1_lp28-6	ID|12 B31_lp28-3	ID|10 N40_lp28-5	ID|28 JD1_cp32-6	ID|16 B31_lp21	ID|24 B31_cp32-1	ID|8 JD1_lp28-7	ID|20 B31_lp54	ID|29 B31_cp32-7	ID|11 B31_lp28-4	ID|5 B331_Ira_lp28-11	ID|25 B31_cp32-3	ID|21 WI91-23_lp56	ID|14 B31_lp28-1	ID|27 B31_cp32-5	ID|19 B31_lp38	ID|7 CA_28_lp28-8	ID|30 JD1_cp32-8	ID|26 B31_cp32-4	ID|6 Bol26_lp28-9	ID|18 B31_lp36	ID|33 N4>JD1_cp32-11
UMA1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1
UMA2	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1
UMA3	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1
UMA4	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1
UMA5	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1
UMA7	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1
UMA8	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
UMA9	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1
UMA10	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1
UMA11	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1
UMA12	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
UMA13	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1
UMA14	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
UMA15	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1
UMA16	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	1
URI17	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	1
URI19	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1
URI20	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1
URI22	0	0	0	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	1
URI23	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	1	0	1	1
URI24	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
ESI26	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0
ESI28	0	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0
UCT29	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
UCT30	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1
UCT31	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1
UCT32	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1
URI33	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	1
URI34	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0
UCT35	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0
URI36	0	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1
URI37	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1
URI38	0	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0
URI39	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1
URI40	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
URI41	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1
URI42	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1
URI43	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0
URI44	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1
URI46	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1
URI47	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1
URI48	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	1
URI49	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1
UCT50	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0
UCT51	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1
URI52	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1
URI53	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1
URI54	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	0
URI55	0	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0
URI56	0	0	0	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1
URI57	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1
URI58	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1
URI59	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	0
URI60	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1
URI61	0	0	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1
UCT62	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1
URI63	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1
URI64	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1
URI65	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1
UCT66	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1
URI67	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1
URI68	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1
UCT69	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	1	1
URI70	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1
URI71	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1
URI72	0	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1
UCT73	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1
UCT74	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1
URI75	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1
UCT76	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1
URI77	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1
URI78	0	0	1	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1
URI79	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1
URI81	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	1
UCT83	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	1	1
URI84	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1
URI85	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	1
URI86	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1
URI87	0	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
URI88	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1
URI89	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1
URI90	1	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	1	1
URI91	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1
UCT92	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1
URI93	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0
URI94	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1
UCT96	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1
URI97	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1
URI98	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1
URI99	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1
URI100	0	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1
URI101	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
URI102	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0
URI103	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1
UCT104	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1
URI105	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0
