metadata$Rename_A	HO14_NovelPFam32	PotiB2_lp32.3_2	MOD5_untig_175_lp28.14	Y501_unitig_7_lp28.13	Y501_unitig_2_lp28.12	Bol26_lp28.9	CA_28_91_lp28.8	JD1_lp28.7	JD1_lp28.6	N40_lp28.5	B31_lp28.11	B31_lp28.4	B31_lp28.3	B31_lp28.2	B31_lp28.1	B31_lp17	B31_lp21	B31_lp25	B31_lp36	B31_lp38	B31_lp54	WI9123_lp56	DN127_cp9	B31_cp26	B31_cp32.1	B31_cp32.3	B31_cp32.4	B31_cp32.5	JD1_cp32.6	B31_cp32.7	JD1_cp32.8	B31_cp32.9	B31_cp32.10	JD1_cp32.11	X297_cp32.12	X118a_cp32.13	unknown
UMA1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	NA	NA	NA	1	NA	1	1	NA	1
UMA2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	NA	NA	1	1	1	1	1	1	NA	NA	1	NA	1	NA	NA	1	NA	NA	NA	1	NA	1	1	1
UMA3	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	NA	NA	NA	1	NA	NA	1	NA	1
UMA4	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	NA	NA	1	NA	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	1	NA	1
UMA5	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	1	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	1	1	1	NA	NA	1	1	NA	NA	NA	1
UMA7	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	NA	1	1	1	1	NA	1	NA	NA	1	NA	NA	1	1	1	1	NA	NA	1	NA	NA	NA	1
UMA8	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	NA	NA	NA	NA	1	1	NA	NA	1
UMA9	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	1	1	1	1	1	1	NA	1	1	NA	1	NA	1	NA	1	NA	1	NA	NA	1	1	1	NA	1
UMA10	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	1	1	1	1	1	1	NA	1	NA	NA	1	1	1	NA	1	1	NA	1	NA	NA	NA	1	NA	1
UMA11	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	1	1	NA	NA	1	1	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1
UMA12	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	1	NA	NA	1
UMA13	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	1	NA	NA	NA	1	1	1	NA	NA	1
UMA14	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	NA	1	1	1	NA	NA	1	1	NA	NA	1
UMA15	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	NA	1	1	1	NA	NA	NA	1	1	NA	1
UMA16	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1	1	1	NA	1	1	NA	1	NA	NA	1	1	1	NA	1	1	NA	1	NA	NA	NA	NA	NA	1
URI17	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1	1	1	NA	1	1	NA	1	NA	NA	1	1	1	NA	1	1	NA	1	NA	NA	NA	NA	NA	1
URI19	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	NA	NA	1	1	1	NA	NA	NA	1	NA	1
URI20	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	NA	NA	1
URI22	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	1	1	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	1	NA	1	1	1	NA	1	NA	NA	NA	1
URI23	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	1	1	NA	NA	1	NA	1	1	1	1	NA	NA	NA	NA	1	1	NA	1
URI24	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	NA	1	1	NA	NA	NA	1	1	NA	NA	1
ESI26	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	NA	1	NA	1	NA	NA	1	1	NA	NA	1	1	NA	NA	1	NA	NA	1	NA	1
ESI28	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	1	NA	1	NA	NA	1	1	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	1
UCT29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	NA	NA	1
UCT30	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
UCT31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	NA	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	NA	NA	1
UCT32	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	1	1	NA	1	1	NA	1
URI33	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	NA	1	1	NA	1	NA	1	1	NA	NA	1
URI34	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	1	NA	NA	1	NA	NA	1	NA	1	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	1	1
UCT35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	1	NA	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	NA	1	NA	NA	1	1
URI36	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	1
URI37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	1	1	1	1	1	1	1	NA	1	NA	NA	1
URI38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	1	NA	1	1	NA	1	NA	NA	1	1	NA	1	1	1	NA	NA	1	1	NA	NA	NA	1
URI39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	NA	NA	1
URI40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	1	NA	NA	1
URI41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	NA	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	1	NA	NA	1
URI42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	NA	1	1	NA	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	1	NA	NA	1
URI43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	1	1	1	NA	1	NA	1	1	NA	NA	NA	1
URI44	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
URI46	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
URI47	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	1	1	NA	1	1	NA	1
URI48	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	1	1	1	1	NA	NA	1	NA	NA	NA	1	1	NA	1	NA	1	1	NA	NA	1
URI49	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	NA	NA	1	NA	1	1	1	1	NA	NA	1	1	NA	1	NA	1	1	NA	NA	NA	1	NA	NA	1
UCT50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	1	1	1	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1	1	NA	NA	1	1
UCT51	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	NA	1	1	NA	1	1	NA	1	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	1
URI52	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	1
URI53	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	1
URI54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	1	NA	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	NA	1	NA	NA	1	1
URI55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	NA	1	NA	1	1	1	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1	1	NA	NA	NA	1
URI56	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	1
URI57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	1	1	1	1	1	1	1	NA	1	NA	NA	1
URI58	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	1
URI59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	1	NA	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	NA	1	NA	NA	1	1
URI60	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	NA	1	1	1	1	NA	1	1	NA	NA	1
URI61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	1	1	1	1	NA	NA	1
UCT62	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	NA	NA	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
URI63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	NA	NA	1
URI64	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	NA	1	1	NA	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
URI65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1
UCT66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1
URI67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	1	1	NA	1	1	1	1	NA	1	NA	NA	1
URI68	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	1	NA	1	1	NA	1	1	1	NA	NA	1
UCT69	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	1	1	NA	1	1	NA	1	NA	NA	1	1	1	1	NA	1	1	1	1	NA	1	1	NA	1
URI70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	1	1	1	1	1	1	1	NA	1	NA	NA	1
URI71	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
URI72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	NA	1
UCT73	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	1	1	NA	1	1	NA	1
UCT74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1
URI75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1
UCT76	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	NA	1	1	1	1	NA	1	NA	1	1	NA	1
URI77	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
URI78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	1	1	1	1	1	1	1	NA	1	NA	NA	1
URI79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	1	1	NA	1	1	1	1	NA	1	NA	NA	1
URI81	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	1	1	1	1	NA	NA	1	NA	NA	NA	1	1	NA	1	NA	1	1	NA	NA	1
UCT83	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
URI84	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	1	1	1	1	1	1	1	1	NA	1	1	NA	1
URI85	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	NA	1	1	1	NA	NA	1	NA	NA	NA	1	1	NA	1	NA	1	1	NA	NA	1
URI86	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	NA	1	1	1	1	NA	1	NA	1	1	NA	1
URI87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	1	NA	NA	1
URI88	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	1	1	1	1	1	1	1	NA	NA	1	1	NA	1
URI89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1
URI90	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	1	NA	NA	1	NA	1	1	1	1	NA	NA	1	NA	NA	1	1	1	NA	1	NA	1	1	NA	1	1
URI91	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1
UCT92	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	1	1	1	1	1	1	1	1	NA	1	1	NA	1
URI93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	NA	1	NA	1	1	NA	NA	NA	1
URI94	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
UCT96	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	1	1	NA	1	1	1	1	NA	1	NA	NA	1
URI97	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	NA	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
URI98	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	NA	NA	1	1	1	1	1	NA	1	1	1	1	NA	1
URI99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	1	NA	1	1	NA	1	1	1	NA	NA	1
URI100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	1	1	NA	1	1	1	1	NA	1	NA	NA	1
URI101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	1	NA	NA	1
URI102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	1	1	1	NA	1	NA	1	1	NA	NA	NA	1
URI103	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
UCT104	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	1	1	NA	1	1	NA	1
URI105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	NA	1	NA	1	1	NA	NA	NA	1
UCT106	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	1	NA	NA	1	NA	1	1	1	1	NA	NA	1	1	NA	1	NA	1	1	NA	1	1	1	NA	NA	1
URI107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	1	NA	NA	1
URI108	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	1	1	NA	1	1	1	1	NA	NA	1	1	1	1	NA	1	1	1	1	NA	1	NA	NA	1
UCT109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	NA	NA	NA	1
UCT110	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	1	1	NA	1	1	NA	1
URI111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	1	NA	NA	1
URI112	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	1	1	NA	1	1	NA	1
UCT113	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	1	1	1	NA	1	1	1	1	1	1	1	NA	1
URI114	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	NA	NA	1	NA	NA	1
UCT115	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	NA	1	1	NA	1	NA	NA	1	1	1	1	1	NA	1	1	NA	NA	1	1	NA	1
URI116	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	NA	1	NA	1	1	1	1	NA	NA	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1
URI117	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
URI118	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	1	NA	1	1	1	1	1	NA	1	NA	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	NA	1
URI119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	NA	1	1	1	1	NA	NA	1	1	1	NA	NA	1
